k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
170;45056;S;0;89708;89708;5000;104.209;172.372;6.46082e+06;2.0254e+06;1;12.0981;4.37487e+07
171;7488;S;0;25752;25752;4071.89;0;70.9272;1.9314e+06;2.00901e+06;1;12.0083;4.33945e+07
172;21316;S;0;46713;46713;4122.74;59.4822;131.059;3.41973e+06;2.0036e+06;1;11.9787;4.32778e+07
173;42152;S;0;116530;116530;2637.45;164.188;226.517;7.52834e+06;1.97008e+06;1;11.7949;4.25536e+07
174;48705;S;0;51443;51443;3208.04;51.7886;123.38;3.7956e+06;1.96722e+06;1;11.7793;4.24919e+07
175;36712;S;0;42183;42183;3327.07;54.4978;125.926;3.15364e+06;1.95909e+06;1;11.7347;4.23162e+07
176;213;S;32927;0;32927;2786.04;0;147.79;4.93905e+06;1.94827e+06;1;11.6755;4.20827e+07
177;38764;S;0;126861;126861;3435.07;94.8032;168.005;9.51458e+06;1.93926e+06;1;11.6261;4.1888e+07
178;49803;S;0;28207;28207;4694.78;24.4511;94.7677;2.10886e+06;1.92637e+06;1;11.5555;4.16096e+07
179;15611;S;0;66455;66455;4115.79;62.8671;134.136;4.93341e+06;1.89765e+06;1;11.3981;4.09892e+07
180;31354;S;0;135644;135644;4027.06;158.156;213.896;7.86898e+06;1.89042e+06;1;11.3585;4.08331e+07
181;53835;S;0;26031;26031;5000;0.0236627;72.822;1.95232e+06;1.88142e+06;1;11.3092;4.06387e+07
182;24001;S;0;98853;98853;2605.65;146.972;207.308;6.2645e+06;1.87811e+06;1;11.291;4.05672e+07
183;48251;S;0;64433;64433;4361.63;124.955;185.461;4.01436e+06;1.85584e+06;1;11.169;4.00862e+07
184;47580;S;0;147044;147044;988.537;180.647;237.335;8.42464e+06;1.85045e+06;1;11.1395;3.99698e+07
185;12460;S;0;48271;48271;4595.91;83.0238;149.011;3.45425e+06;1.8435e+06;1;11.1013;3.98195e+07
186;3685;S;0;33040;33040;4746.67;33.4468;103.437;2.45687e+06;1.83261e+06;1;11.0417;3.95844e+07
187;6692;S;0;65334;65334;2257.5;10.0565;83.8552;4.90005e+06;1.8207e+06;1;10.9764;3.93271e+07
188;25535;S;0;74503;74503;4560.55;207.384;252.245;3.83833e+06;1.79192e+06;1;10.8188;3.87056e+07
189;33269;S;0;34713;34713;4635.41;6.58701;75.9389;2.60348e+06;1.78299e+06;1;10.7698;3.85125e+07
190;34531;S;0;104784;104784;4182.02;151.901;213.488;6.65299e+06;1.77961e+06;1;10.7513;3.84396e+07
191;49962;S;0;43383;43383;4952.5;50.5683;123.472;3.25372e+06;1.77749e+06;1;10.7397;3.83939e+07
192;46836;S;0;29430;29430;4326.66;65.2264;134.926;2.16476e+06;1.77514e+06;1;10.7268;3.83431e+07
193;12245;S;0;87252;87252;3929.02;42.2335;113.771;6.5439e+06;1.75097e+06;1;10.5944;3.7821e+07
194;9334;S;0;57891;57891;3600.47;20.6388;92.5898;4.3376e+06;1.67082e+06;1;10.1552;3.60898e+07
195;39;S;33306;0;33306;4706.64;0;146.797;4.9959e+06;1.65469e+06;1;10.0668;3.57412e+07
196;50709;S;0;56644;56644;4199.74;126.425;188.359;3.65937e+06;1.65052e+06;1;10.044;3.56513e+07
197;34675;S;0;76895;76895;4221.43;96.7302;165.288;5.56778e+06;1.63772e+06;1;9.9738;3.53747e+07
198;54586;S;0;21031;21031;3061.96;1.10495;74.9057;1.57732e+06;1.63469e+06;1;9.95721;3.53093e+07
199;183;S;38769;0;38769;4101.22;0;147.197;5.81535e+06;1.63169e+06;1;9.94075;3.52444e+07
200;49518;S;0;28056;28056;4833.64;9.9082;80.5416;2.1042e+06;1.62577e+06;1;9.90833;3.51166e+07
201;37310;S;0;41922;41922;4946.29;56.5091;125.714;3.13079e+06;1.61334e+06;1;9.84021;3.48481e+07
202;17353;S;0;27010;27010;4887.6;13.4978;85.1488;2.0146e+06;1.56865e+06;1;9.59535;3.38829e+07
203;368;S;16733;0;16733;5000;0;146.86;2.50995e+06;1.5552e+06;1;9.52164;3.35923e+07
204;18822;S;0;90638;90638;2889.06;108.338;177.837;6.4309e+06;1.54948e+06;1;9.49028;3.34687e+07
205;52055;S;0;22056;22056;5000;3.01914;70.8966;1.65363e+06;1.53979e+06;1;9.43719;3.32594e+07
206;645;S;0;126097;126097;3429.38;82.8027;152.83;9.35059e+06;1.53767e+06;1;9.42557;3.32136e+07
207;32548;S;0;75294;75294;2606.09;113.836;185.71;5.54408e+06;1.53493e+06;1;9.41059;3.31545e+07
208;55664;S;0;67434;67434;2985.76;85.7257;156.764;4.9236e+06;1.53256e+06;1;9.3976;3.31033e+07
209;46312;S;0;63452;63452;2908.31;34.6744;104.826;4.69692e+06;1.52714e+06;1;9.36789;3.29862e+07
210;33;S;0;32415;32415;5000;0;70.9911;2.43112e+06;1.52345e+06;1;9.34766;3.29065e+07
211;188;S;22996;0;22996;4841.24;0;148.791;3.4494e+06;1.51128e+06;1;9.28098;3.26436e+07
212;6532;S;0;59745;59745;2293.34;43.3764;116.825;4.48088e+06;1.50159e+06;1;9.22787;3.24343e+07
213;51009;S;0;31760;31760;3725.3;62.0534;132.886;2.382e+06;1.49503e+06;1;9.19194;3.22926e+07
214;41232;S;0;123185;123185;5000;137.936;204.06;8.62215e+06;1.48995e+06;1;9.16409;3.21828e+07
215;44740;S;0;78485;78485;3853.21;116.99;183.025;5.39079e+06;1.46063e+06;1;9.00344;3.15495e+07
216;50382;S;0;120644;120644;1617.33;89.7039;158.209;8.30312e+06;2.86362e+06;2;17.691;6.18541e+07
217;4594;S;0;85751;85751;1417.49;83.9805;158.326;6.41064e+06;1.42494e+06;1;8.80789;3.07787e+07
218;46751;S;0;52998;52998;4444.29;69.2057;142.714;3.97485e+06;1.42312e+06;1;8.79794;3.07395e+07
219;3909;S;0;33027;33027;4484.72;37.7051;109.168;2.47702e+06;1.42004e+06;1;8.78105;3.06729e+07
220;192;S;29363;0;29363;2627.34;0;148.487;4.40445e+06;1.39145e+06;1;8.62436;3.00552e+07
221;9;S;78059;0;78059;1506.15;0;149.237;1.17088e+07;1.38681e+06;1;8.59897;2.99552e+07
222;9295;S;0;31094;31094;3944.8;7.38516;78.1322;2.33205e+06;1.38274e+06;1;8.57666;2.98672e+07
223;87;S;42817;0;42817;2713.01;0;146.964;6.42255e+06;2.75712e+06;2;17.1075;5.95538e+07
224;27152;S;0;71829;71829;2719.54;84.599;151.967;5.01204e+06;1.36917e+06;1;8.50231;2.95741e+07
225;20643;S;0;27898;27898;4958.8;0.744794;70.5827;2.09235e+06;1.35627e+06;1;8.4316;2.92954e+07
226;35382;S;0;80155;80155;4598.69;138.708;201.379;5.50398e+06;1.34989e+06;1;8.39663;2.91575e+07
227;21649;S;0;37223;37223;3839.01;81.1249;147.149;2.60974e+06;1.34533e+06;1;8.37168;2.90592e+07
228;377;S;27942;0;27942;4924.16;0;146.926;4.1913e+06;1.34263e+06;1;8.35688;2.90008e+07
229;13154;S;0;46361;46361;4014.79;72.1971;139.577;3.40994e+06;1.3331e+06;1;8.30467;2.8795e+07
230;314;S;0;22614;22614;2225.3;0;83.1799;1.69605e+06;1.33183e+06;1;8.29767;2.87674e+07
